translation,declension,number,gender,nominative,genitive,dative,acusative,ablative
Gate,1,singular,feminine,porta,portae,portae,portam,porta
Gates,1,plural,feminine,portae,portarum,portis,portas,portis
Friend,2,singular,masculine,amicus,amici,amico,amicum,amico
Friends,2,plural,masculine,amici,amicorum,amicis,amicos,amicis
Boy,2,singular,masculine,puer,pueri,puero,puerum,puero
Boys,2,plural,masculine,pueri,puerorum,pueris,pueros,pueris
Field,2,singular,masculine,ager,agri,agro,agrum,agro
Fields,2,plural,masculine,agri,agrorum,agris,agros,agris
Gift,2,singular,neuter,donum,doni,dono,donum,dono
Gifts,2,plural,neuter,dona,donorum,donis,dona,donis
King,3,singular,masculine,rex,regis,regi,regem,rege
Kings,3,plural,masculine,reges,regum,regibus,reges,regibus
Body,3,singular,neuter,corpus,corporis,corpori,corpus,corpore
Bodies,3,plural,neuter,corpora,corporum,corporibus,corpora,corporibus
Citizen,3,singular,masculine,civis,civis,civi,civem,cive
Citizens,3,plural,masculine,cives,civium,civibus,cives,civibus
City,3,singular,feminine,urbs,urbis,urbi,urbem,urbe
Cities,3,plural,feminine,urbes,urbium,urbibus,urbes,urbibus
Sea,3,singular,neuter,mare,maris,mari,mare,mari
Seas,3,plural,neuter,maria,marium,maribus,maria,maribus
Fruit,4,singular,masculine,fructus,fructus,fructui,fructum,fructu
Fruits,4,plural,masculine,fructus,fructuum,fructibus,fructus,fructibus
Horn,4,singular,neuter,cornu,cornus,cornu,cornu,cornu
Horns,4,plural,neuter,cornua,cornuum,cornibus,cornua,cornibus
Day,5,singular,masculine,dies,diei,diei,diem,die
Days,5,plural,masculine,dies,dierum,diebus,dies,diebus
